poiid,title,address,lon,lat,category,checkin_user_num,city,checkin_num,checkin_ave
B2094450D46DA6FA419B,海韵之星游轮水会,"江苏省 南京市 南京明发广场",118.798,31.9824,生活娱乐,40,0025,50,1.25
B2094450D564AAF84492,南京大屠杀纪念馆,"江苏省 南京市 南京市江东门街418号",118.862,31.9364,楼宇机构,18,0025,18,1
B2094450D564AAFF479E,侵华日军南京大屠杀遇难同胞纪念馆,"江苏省 南京市 南京江东门街418号",118.911,31.9173,一般地点标志,23,0025,23,1
B2094450D569ABFE4799,东山,None,118.842,31.9631,商圈,2639,0025,7555,2.862826828
B2094450D56CABFC499D,新石器烤肉,"江苏省 南京市 仙林",118.926,32.103,出行住宿,27,0025,28,1.037037037
B2094450D664A2F8419F,南京,"江苏省 南京市 南京",118.832,32.1293,一般地点标志,116,0025,367,3.163793103
B2094450D665A1FC4899,南京工业大学浦江学院,"江苏省 南京市 江宁区汤山街道汤峰路96号",119.052,32.0206,校园生活,217,0025,800,3.686635944
B2094450D665A1FF4499,栖霞山风景区,"江苏省 南京市 南京市栖霞市栖霞山风景区",118.867,32.1342,公园户外,65,0025,68,1.046153846
B2094450D669A7FD499C,奶酪时光,"江苏省 南京市 南京理工大学1号路",118.859,32.0301,餐饮美食,17,0025,18,1.058823529
B2094450D66AA4FF409D,南京华灯坊,"江苏省 南京市 江东中路236号",118.723,31.9997,餐饮美食,73,0025,84,1.150684931
B2094450D66BA1FC4392,南京紫金科技创业特别社区,"江苏省 南京市 南京江宁区",118.827,31.8687,一般地点标志,84,0025,119,1.416666666
B2094450D66BA2FA489B,恒大华府,"江苏省 南京市 小行",118.753,31.9772,一般地点标志,5,0025,6,1.2
B2094450D66CA1F94398,画家村,"江苏省 南京市 南京市六合区毛许",118.8,32.3013,出行住宿,46,0025,149,3.239130434
B2094450D66DA0FB499D,南京审计学院先锋书店润泽书局,"江苏省 南京市 南京审计学院",118.612,32.0634,生活娱乐,122,0025,155,1.270491803
B2094450D66EA5FD459C,南京眼步行桥,"江苏省 南京市 南京",118.713,31.9857,一般地点标志,87,0025,102,1.172413793
B2094450D66FA1FB419E,德克士（珠江路店）,"江苏省 南京市 南京市珠江路333号（近百脑汇）",118.799,32.0471,餐饮美食,7,0025,7,1
B2094450D66FA1FB489D,莲花湖体育公园,"江苏省 南京市 南京市雨花台区",118.659,31.9057,公园户外,55,0025,64,1.163636363
B2094450D66FA2FF4499,桐月春至,"江苏省 南京市 南京市浦口区大马路7号",118.722,32.0972,一般地点标志,11,0025,28,2.545454545
B2094450D765A2FE429E,民国红公馆,"江苏省 南京市 南京市珠江路1912街区3号楼",118.801,32.0422,餐饮美食,8,0025,9,1.125
B2094450D768A3FA429D,玄武湖公园,"江苏省 南京市 中央路",118.793,31.9185,公园户外,81,0025,104,1.283950617
B2094450D769A2F54999,南京江宁大学城,"江苏省 南京市 南京江宁大学城",118.879,31.9263,一般地点标志,85,0025,122,1.435294117
